text,label
ham,Hãy đến cho đến Jurong Point, điên rồ .. chỉ có sẵn trong Bugis n World la e buffet ... cine có amore wat ...,,,
ham,Ok lar ... nói đùa wif u oni ...
spam,Nhập viện miễn phí trong 2 WKLY Comp để giành chiến thắng FA Cup Final TKTS ngày 21 tháng 5 năm 2005. Văn bản FA đến 87121 để nhận câu hỏi nhập cảnh (tỷ lệ STD TXT) T & C áp dụng 08452810075over18's
ham,Bạn không nói quá sớm bạn đã nói
ham,Không, tôi không nghĩ anh ấy đến USF, anh ấy sống quanh đây
spam,Freemsg Này, em yêu bây giờ đã được 3 tuần và không có lời nào! Tôi muốn một số niềm vui bạn vẫn còn cho nó? TB OK! XXX STD CHGS để gửi, �1,50 đến RCV
ham,Ngay cả anh trai tôi cũng không thích nói chuyện với tôi. Họ đối xử với tôi như bằng sáng chế AIDS.
ham,Theo yêu cầu của bạn 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' đã được đặt làm người gọi của bạn cho tất cả người gọi. Nhấn *9 để sao chép bạn bè Callertune của bạn
spam,NGƯỜI CHIẾN THẮNG!! Là một khách hàng mạng có giá trị, bạn đã được chọn để nhận �900 phần thưởng giải thưởng! Để yêu cầu gọi 09061701461. Mã yêu cầu KL341. Chỉ có giá trị 12 giờ.
spam,Có di động của bạn 11 tháng trở lên? Bạn có quyền cập nhật lên các điện thoại di động màu mới nhất với camera miễn phí! Gọi cho bản cập nhật di động CO miễn phí theo số 08002986030
ham,Tôi sẽ về nhà sớm và tôi không muốn nói về những thứ này nữa tối nay, K? Hôm nay tôi đã khóc đủ.
spam,Sáu cơ hội để giành được tiền mặt! Từ 100 đến 20.000 pound TXT> CSH11 và gửi tới 87575. Chi phí 150p/ngày, 6 ngày, 16+ TSANDC áp dụng Trả lời HL 4 Thông tin
spam,CẤP BÁCH! Bạn đã giành được một thành viên miễn phí trong 1 tuần trong giải thưởng giải thưởng �100.000 của chúng tôi! TXT Từ: Yêu cầu NO: 81010 T & C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
